1300	2026-08-07	tech-debt,stats,plan-me	GolfHelm: Missing stats verifier for SG column family coherence
1299	2026-08-07	bug,coachhelm,ci,plan-me	GolfHelm unit test: insight celebration revalidatePath() fails in test context
1298	2026-08-07	bug,golf,plan-me	GolfHelm: getPlayerProfile() 'recent 30' orders ascending (oldest first)
1297	2026-08-07	bug,stats,coachhelm,plan-me	GolfHelm/CoachHelm: SG source mismatch breaks stats coherence
1271	2026-08-03	security,high-risk,auth,database,plan-me,severity:p1	[HIGH] Public unauthenticated Edge Function 'create-admin-user' mints a confirmed admin with a hardcoded password — the account it made is live and signed in yesterday
1270	2026-08-03	golf,plan-me,severity:p1	[HIGH — needs 60s human confirmation] "Create qualifier" does nothing: no request, no row, no error message
1269	2026-08-03	security,high-risk,ci,plan-me,severity:p0	[CRITICAL] Production is 35h/5 commits behind main — unauthenticated push endpoints AND unauthenticated privilege escalation are live; both fixed on main, neither deployed
1268	2026-08-03	security,high-risk,database,golf,plan-me,severity:p1	[HIGH] Two more SECURITY DEFINER RPCs trust a caller-supplied id — any player's full stats profile is readable across organizations
1267	2026-08-03	security,high-risk,database,baseball,plan-me,severity:p1	[HIGH] get_baseball_conversations_with_details returns ANY user's conversations and message bodies to any authenticated caller — SECURITY DEFINER with no ownership check
1266	2026-08-03	coachhelm,golf,plan-me,severity:p3	[LOW] A focus-area target that moves the wrong way is accepted and renders "100% there" — needs a write-time directional guard
1265	2026-08-03	golf,baseball,plan-me,severity:p3	[LOW] Player team page shows task due dates one day early (reproduced) — DATE columns parsed as UTC midnight at 4 client-side sites
1264	2026-08-03	tech-debt,golf,plan-me,severity:p3	[LOW] 2,808 lines of components are unreachable from any route — 4 of 5 have green test suites, and Knip cannot see them
1263	2026-08-03	baseball,plan-me,surface:calendar,severity:p3	[LOW] Baseball calendar renders a Documents panel wired to golf tables — always empty, and its coach 'Attach document' control cannot work
1262	2026-08-03	security,high-risk,rls,database,plan-me,severity:p1	[HIGH] Every uploaded document is readable+deletable by any authenticated user across both sports — the team-scoping migration was merged but never applied to prod
1261	2026-08-03	tech-debt,baseball,plan-me,severity:p2	[MEDIUM] Baseball video upload targets a storage bucket that does not exist — and the guard test that should catch it passes on a table-name collision
1260	2026-08-03	golf,plan-me,design-system,severity:p3	[LOW] Every role-denial screen renders its heading and message twice — FeatureUnavailable feeds the same strings to ViewHeader and EmptyState
1259	2026-08-03	golf,plan-me,severity:p2	[MEDIUM] Golf document attachments are undownloadable — file_url uses the public endpoint of a private bucket (NoSuchBucket)
1258	2026-08-03	security,rls,golf,plan-me,severity:p2	[MEDIUM] Every authenticated user can read every golf coach's name, email and phone — golf_coaches SELECT policy is USING (true)
1257	2026-08-03	security,high-risk,rls,golf,plan-me,severity:p1	[HIGH] Any authenticated player can read every team's join_code and join any team without it — RLS predicate is 'join_code IS NOT NULL'
1256	2026-08-03	bug,coachhelm,plan-me,surface:telemetry,severity:p2	[MEDIUM] CoachHelm AI has been 100% template-fallback for 8 days and no dashboard shows it — the availability data already exists, nothing reads it
1255	2026-08-03	bug,plan-me,surface:billing,severity:p2	[MEDIUM] /admin/billing shows a fully working invoice form, but production has zero Stripe env vars — the failure only appears after the admin fills in the whole invoice
1254	2026-08-03	bug,plan-me,severity:p1,performance	[HIGH] Lift Lab athlete on /lifting/dashboard hits an infinite reload loop — 173 HTTP req/sec, 37 document loads per 10s (coach: 1)
1253	2026-08-03	bug,rls,database,plan-me,severity:p1	[HIGH] Lift Lab coach onboarding is impossible — helm_lifting_coaches has no INSERT policy, so even an invited coach gets 'Failed to save profile'
1252	2026-08-03	bug,plan-me,design-system,severity:p3	[LOW] public/helm-lifting-logo.png does not exist — all 19 Lift Lab pages 400 on the logo, including the sign-in screen
1251	2026-08-03	bug,golf,dashboard,plan-me,severity:p1	[HIGH] React #310 on 100% of coach visits to /team-hub and /settings/notifications — the known redirect-crash fix cannot cover a role-conditional redirect
1250	2026-08-03	tech-debt,golf,plan-me,severity:p3	[LOW] completeCoachOnboarding INSERTs unconditionally — a pre-existing coach row would dead-end the wizard unrecoverably (latent, not reachable today)
1249	2026-08-03	bug,golf,mobile,plan-me,design-system,severity:p2	[MEDIUM] Roster per-row actions are 20-24px tall on phones — primary controls are half the 44px touch floor
1248	2026-08-03	tech-debt,dependencies,ci,plan-me,severity:p3	Four dev-dependency majors need individual upgrades — TypeScript 7 is blocked upstream by typescript-eslint
1245	2026-08-02	bug,auth,plan-me,product:platform,surface:auth,severity:p2	[MEDIUM] Login form hydration race submits an empty email — user is told "Invalid email or password" and the failure is logged against a blank identity
1244	2026-08-02	bug,coachhelm,golf,plan-me,product:golfhelm,severity:p3	[LOW] Auto-created goals have baseline_value = NULL — 9 of 19 goals (incl. the only active one) render no progress bar at all
